Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Total Annual Cost (USD),Total Program Cost (USD)
USA,Cambridge,Harvard University,Computer Science,Master,2.0,55400,83.5,2200,160,1500,1.0,59260,118520.0
UK,London,Imperial College London,Data Science,Master,1.0,41200,75.8,1800,485,800,0.79,44285,44285.0
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,38500,72.5,1600,235,900,1.35,41235,82470.0
Australia,Melbourne,University of Melbourne,Engineering,Master,2.0,42000,71.2,1400,450,650,1.52,44500,89000.0
Germany,Munich,Technical University of Munich,Mechanical Engineering,Master,2.0,500,70.5,1100,75,550,0.92,2225,4450.0
Japan,Tokyo,University of Tokyo,Information Science,Master,2.0,8900,76.4,1300,220,750,145.8,11170,22340.0
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,Master,1.0,15800,73.2,1500,180,720,0.92,18200,18200.0
Singapore,Singapore,National University of Singapore,Finance,Master,1.5,35000,81.1,1900,90,800,1.34,37790,56685.0
France,Paris,Sorbonne University,International Relations,Master,2.0,4500,74.6,1400,99,650,0.92,6649,13298.0
Switzerland,Zurich,ETH Zurich,Physics,Master,2.0,1460,91.5,2100,88,1200,0.89,4848,9696.0
Sweden,Stockholm,KTH Royal Institute,Sustainable Technology,Master,2.0,0,71.8,1200,110,400,10.45,1710,3420.0
Denmark,Copenhagen,University of Copenhagen,Bioinformatics,Master,2.0,0,73.4,1300,120,450,6.92,1870,3740.0
China,Beijing,Tsinghua University,Computer Engineering,Master,2.5,8900,52.3,800,140,400,7.18,10240,25600.0
South Korea,Seoul,Seoul National University,Digital Media,Master,2.0,7200,68.7,900,130,500,1320.5,8730,17460.0
Ireland,Dublin,Trinity College Dublin,Data Analytics,Master,1.0,28900,72.9,1600,150,650,0.92,31300,31300.0
South Korea,Busan,Pusan National University,Business,Bachelor,4.0,5900,62.4,700,130,500,1320.5,7230,28920.0
New Zealand,Auckland,University of Auckland,Marine Biology,Bachelor,3.0,28500,69.8,1200,245,600,1.64,30545,91635.0
Austria,Vienna,University of Vienna,Social Sciences,Bachelor,3.0,1500,67.4,950,160,500,0.92,3110,9330.0
Belgium,Brussels,KU Leuven,Biomedical Sciences,Bachelor,3.0,3500,68.9,1000,180,550,0.92,5230,15690.0
USA,Ann Arbor,University of Michigan,Aerospace Engineering,Bachelor,4.0,52300,72.5,1800,160,1500,1.0,55760,223040.0
USA,Atlanta,Georgia Tech,Industrial Engineering,Bachelor,4.0,43800,71.5,1700,160,1500,1.0,47160,188640.0
USA,Austin,UT Austin,Chemical Engineering,Bachelor,4.0,40900,72.4,1600,160,1500,1.0,44160,176640.0
UK,Bristol,University of Bristol,Mathematics,Bachelor,3.0,31200,69.8,1100,485,800,0.79,33585,100755.0
Canada,Ottawa,University of Ottawa,Political Science,Bachelor,4.0,28900,68.5,1300,235,900,1.35,31335,125340.0
Hong Kong,Hong Kong,HKUST,Finance,Bachelor,4.0,22000,78.6,1500,120,600,7.82,24220,96880.0
Portugal,Lisbon,University of Lisbon,Architecture,Bachelor,3.0,3500,58.4,800,120,450,0.92,4870,14610.0
Israel,Tel Aviv,Tel Aviv University,Computer Science,Bachelor,3.0,12000,76.2,1200,150,800,3.72,14150,42450.0
Taiwan,Taipei,National Taiwan University,Electronics Engineering,Bachelor,4.0,5200,62.8,700,140,450,31.2,6490,25960.0
Czech Republic,Prague,Charles University,Medicine,Bachelor,3.0,9800,54.6,650,100,400,22.5,10950,32850.0
USA,Stanford,Stanford University,Computer Science,PhD,5.0,54200,89.5,2300,160,1500,1.0,58160,290800.0
USA,Boston,MIT,Electrical Engineering,PhD,5.0,53800,83.2,2200,160,1500,1.0,57660,288300.0
UK,Oxford,University of Oxford,Biomedical Sciences,PhD,4.0,29800,74.5,1600,485,800,0.79,32685,130740.0
UK,Cambridge,University of Cambridge,Physics,PhD,4.0,31200,75.2,1700,485,800,0.79,34185,136740.0
Germany,Heidelberg,Heidelberg University,Molecular Biology,PhD,3.0,500,68.4,900,75,550,0.92,2025,6075.0
Switzerland,Basel,ETH Basel,Pharmaceutical Sciences,PhD,4.0,1500,88.6,1800,88,1200,0.89,4588,18352.0
Netherlands,Delft,TU Delft,Robotics,PhD,4.0,4800,71.8,1200,180,720,0.92,6900,27600.0
Singapore,Singapore,NTU Singapore,Data Science,PhD,4.0,8900,81.5,1600,90,800,1.34,11390,45560.0
Canada,Waterloo,University of Waterloo,Quantum Computing,PhD,4.0,21500,69.8,1300,235,900,1.35,23935,95740.0
